publicationId,doi,pmid,publicationTitle,abstract,journal,publicationDate,authors
PUB12057013,10.1186/1471-2164-3-13,PMID:12057013,Complex splicing pattern generates great diversity in human NF1 transcripts.,"BACKGROUND: Mutation analysis of the neurofibromatosis type 1 (NF1) gene has shown that about 30% of NF1 patients carry a splice mutation resulting in the production of one or several shortened transcripts. Some of these transcripts were also found in fresh lymphocytes of healthy individuals, albeit typically at a very low level. Starting from this initial observation, we were interested to gain further insight into the complex nature of NF1 mRNA processing. RESULTS: We have used a RT-PCR plasmid library based method to identify novel NF1 splice variants. Several transcripts were observed with specific insertions/deletions and a survey was made. This large group of variants detected in one single gene allows to perform a comparative analysis of the factors involved in splice regulation. Exons that are prone to skipping were systematically analysed for 5' and 3' splice site strength, branch point strength and secondary structure. CONCLUSION: Our study revealed a complex splicing pattern, generating a great diversity in NF1 transcripts. We found that, on average, exons that are spliced out in part of the mRNA have significantly weaker acceptor sites. Some variants identified in this study could have distinct roles and might expand our knowledge of neurofibromin.",BMC genomics,2002-05-24,Ina Vandenbroucke; Tom Callens; Anne De Paepe; Ludwine Messiaen
PUB15240917,10.1155/S1110724304308107,PMID:15240917,Survival of Human Neurofibroma in Immunodeficient Mice and Initial Results of Therapy With Pirfenidone.,"Neurofibromatosis type I is a common tumor predisposing disease in humans. Surgical therapy can be applied only in selected patients with resectable masses. Hence, development of new therapies for this disease is urgent. We used human neurofibroma implants in mice with severe combined immunodeficiency (SCID) as a model to test the toxicity and potential efficacy of pirfenidone, a new therapeutic agent. Two hundred twelve human neurofibromas were transplanted into various locations in 59 experimental animals, and 30 mice with implants received oral pirfenidone for up to six weeks. Survival of neurofibromas in animals treated with pirfenidone was lower than in the control group $(P=.02)$. Tumors did not change histologic appearance or vascularization in response to pirfenidone. Treatment with pirfenidone, a new antifibrotic agent, inhibits survival of some tumors without causing toxicity in animals.",Journal of biomedicine & biotechnology,2004,Dusica Babovic-Vuksanovic; Lydia Petrovic; Bruce E. Knudsen; Timothy B. Plummer; Joseph E. Parisi; Srdan Babovic; Jeffrey L. Platt
PUB16835260,10.1093/hmg/ddl165,PMID:16835260,Nf1+/- mast cells induce neurofibroma like phenotypes through secreted TGF-beta signaling.,"Neurofibromas are common tumors found in neurofibromatosis type 1 (NF1) patients. These complex tumors are composed of Schwann cells, mast cells, fibroblasts and perineurial cells embedded in collagen that provide a lattice for tumor invasion. Genetic studies demonstrate that in neurofibromas, nullizygous loss of Nf1 in Schwann cells and haploinsufficiency of Nf1 in non-neuronal cells are required for tumorigenesis. Fibroblasts are a major cellular constituent in neurofibromas and are a source of collagen that constitutes approximately 50% of the dry weight of the tumor. Here, we show that two of the prevalent heterozygous cells found in neurofibromas, mast cells and fibroblasts interact directly to contribute to tumor phenotype. Nf1+/- mast cells secrete elevated concentrations of the profibrotic transforming growth factor-beta (TGF-beta). In response to TGF-beta, both murine Nf1+/- fibroblasts and fibroblasts from human neurofibromas proliferate and synthesize excessive collagen, a hallmark of neurofibromas. We also establish that the TGF-beta response occurs via hyperactivation of a novel Ras-c-abl signaling pathway. Genetic or pharmacological inhibition of c-abl reverses fibroblast proliferation and collagen synthesis to wild-type levels. These studies identify a novel molecular target to inhibit neurofibroma formation.",Human molecular genetics,2006-08-15,Feng-Chun Yang; Shi Chen; Travis Clegg; Xiaohong Li; Trent Morgan; Selina A Estwick; Jin Yuan; Waleed Khalaf; Sarah Burgin; Jeff Travers; Luis F Parada; David A Ingram; D Wade Clapp
PUB17924978,10.1111/j.1750-3639.2007.00105.x,PMID:17924978,Natural history of meningioma development in mice reveals: a synergy of Nf2 and p16(Ink4a) mutations.,"Meningiomas account for approximately 30% of all primary central nervous system tumors and are found in half of neurofibromatosis type 2 patients often causing significant morbidity. Although most meningiomas are benign, 10% are classified as atypical or anaplastic, displaying aggressive clinical behavior. Biallelic inactivation of the neurofibromatosis 2 (NF2) tumor suppressor is associated with meningioma formation in all NF2 patients and 60% of sporadic meningiomas. Deletion of the p16(INK4a)/p14(ARF) locus is found in both benign and malignant meningiomas, while mutation of the p53 tumor suppressor gene is uncommon. Previously, we inactivated Nf2 in homozygous conditional knockout mice by adenoviral Cre delivery and showed that Nf2 loss in arachnoid cells is rate-limiting for meningioma formation. Here, we report that additional nullizygosity for p16(Ink4a) increases the frequency of meningioma and meningothelial proliferation in these mice without modifying the tumor grade. In addition, by using magnetic resonance imaging (MRI) to screen a large cohort of mutant mice, we were able to detect meningothelial proliferation and meningioma development opening the way to future studies in which therapeutic interventions can be tested as preclinical assessment of their potential clinical application.","Brain pathology (Zurich, Switzerland)",2008-01,Michel Kalamarides; Anat O Stemmer-Rachamimov; Masaya Takahashi; Zhi-Yan Han; Fabrice Chareyre; Michiko Niwa-Kawakita; Peter M Black; Rona S Carroll; Marco Giovannini
PUBd4de1736,10.1111/j.1750-3639.2007.00105.x | 10.1016/j.redox.2024.103249,PMID:17924978 | PMID:38945076,Natural history of meningioma development in mice reveals: a synergy of Nf2 and p16(Ink4a) mutations. | Selective nitration of Hsp90 acts as a metabolic switch promoting tumor cell proliferation.,,,,
PUB18242513,10.1016/j.ccr.2008.01.003,PMID:18242513,The loss of Nf1 transiently promotes self-renewal but not tumorigenesis by neural crest stem cells.,"Neurofibromatosis is caused by the loss of neurofibromin (Nf1), leading to peripheral nervous system (PNS) tumors, including neurofibromas and malignant peripheral nerve sheath tumors (MPNSTs). A long-standing question has been whether these tumors arise from neural crest stem cells (NCSCs) or differentiated glia. Germline or conditional Nf1 deficiency caused a transient increase in NCSC frequency and self-renewal in most regions of the fetal PNS. However, Nf1-deficient NCSCs did not persist postnatally in regions of the PNS that developed tumors and could not form tumors upon transplantation into adult nerves. Adult P0a-Cre+Nf1(fl/-) mice developed neurofibromas, and Nf1(+/-)Ink4a/Arf(-/-) and Nf1/p53(+/-) mice developed MPNSTs, but NCSCs did not persist postnatally in affected locations in these mice. Tumors appeared to arise from differentiated glia, not NCSCs.",Cancer cell,2008-02,Nancy M Joseph; Jack T Mosher; Johanna Buchstaller; Paige Snider; Paul E McKeever; Megan Lim; Simon J Conway; Luis F Parada; Yuan Zhu; Sean J Morrison
PUBc19b1118,10.1016/j.ccr.2008.01.003 | 10.1172/jci.insight.168826,PMID:18242513 | PMID:38175707,The loss of Nf1 transiently promotes self-renewal but not tumorigenesis by neural crest stem cells. | Unbalancing cAMP and Ras/MAPK pathways as a therapeutic strategy for cutaneous neurofibromas.,,,,
PUB18367665,10.1124/jpet.107.135830,PMID:18367665,Induction of apoptosis in neurofibromatosis type 1 malignant peripheral nerve sheath tumor cell lines by a combination of novel farnesyl transferase inhibitors and lovastatin.,"Neurofibromatosis type 1 (NF1) is a genetic disorder that is driven by the loss of neurofibromin (Nf) protein function. Nf contains a Ras-GTPase-activating protein domain, which directly regulates Ras signaling. Numerous clinical manifestations are associated with the loss of Nf and increased Ras activity. Ras proteins must be prenylated to traffic and functionally localize with target membranes. Hence, Ras is a potential therapeutic target for treating NF1. We have tested the efficacy of two novel farnesyl transferase inhibitors (FTIs), 1 and 2, alone or in combination with lovastatin, on two NF1 malignant peripheral nerve sheath tumor (MPNST) cell lines, NF90-8 and ST88-14. Single treatments of 1, 2, or lovastatin had no effect on Ras prenylation or MPNST cell proliferation. However, low micromolar combinations of 1 or 2 with lovastatin (FTI/lovastatin) reduced Ras prenylation in both MPNST cell lines. Furthermore, this FTI/lovastatin combination treatment reduced cell proliferation and induced an apoptotic response as shown by morphological analysis, procaspase-3/-7 activation, loss of mitochondrial membrane potential, and accumulation of cells with sub-G(1) DNA content. Little to no detectable toxicity was observed in normal rat Schwann cells following FTI/lovastatin combination treatment. These data support the hypothesis that combination FTI plus lovastatin therapy may be a potential treatment for NF1 MPNSTs.",The Journal of pharmacology and experimental therapeutics,2008-07,Jonathan W Wojtkowiak; Farid Fouad; Daniel T LaLonde; Miriam D Kleinman; Richard A Gibbs; John J Reiners; Richard F Borch; Raymond R Mattingly
PUBf8e8a007,10.1124/jpet.107.135830 | 10.1038/s41416-021-01270-8 | 10.1158/0008-5472.CAN-20-1365,PMID:18367665 | PMID:33658640 | PMID:33032988,Induction of apoptosis in neurofibromatosis type 1 malignant peripheral nerve sheath tumor cell lines by a combination of novel farnesyl transferase inhibitors and lovastatin. | Exploring transcriptional regulators Ref-1 and STAT3 as therapeutic targets in malignant peripheral nerve sheath tumours. | Combined Inhibition of SHP2 and MEK Is Effective in Models of NF1-Deficient Malignant Peripheral Nerve Sheath Tumors.,,,,
PUB18413802,10.1158/1535-7163.MCT-07-0518,PMID:18413802,Sorafenib inhibits growth and mitogen-activated protein kinase signaling in malignant peripheral nerve sheath cells.,"Malignant peripheral nerve sheath tumors (MPNST) are soft-tissue tumors with a very poor prognosis and largely resistant to chemotherapy. MPNSTs are characterized by activation of the Ras pathway by loss of tumor suppressor neurofibromatosis type 1. In view of this, MPNST may be susceptible to inhibition of the activated Ras/Raf/mitogen-activated protein kinase pathway by the B-Raf inhibitor sorafenib. MPNST (MPNST and ST8814) and dedifferentiated liposarcoma (LS141 and DDLS) human tumor cell lines were characterized for Ras activation and B-Raf expression. Tumor cells were treated with sorafenib and examined for growth inhibition, inhibition of phospho-MEK, phospho-ERK, cell cycle arrest, and changes in cyclin D1 and pRb expression. MPNSTs were sensitive to sorafenib at nanomolar concentrations. This appeared to be due to inhibition of phospho-MEK, phospho-ERK, suppression of cyclin D1, and hypophosphorylation of pRb at the CDK4-specific sites, resulting in a G(1) cell cycle arrest. These effects were not seen in the liposarcoma cells, which either did not express B-Raf or showed decreased Ras activation. Small interfering RNA-mediated depletion of B-Raf in MPNSTs also induced a G(1) cell cycle arrest in these cells, with a marked inhibition of cyclin D1 expression and Rb phosphorylation, whereas depletion of C-Raf did not affect either. With growth inhibition at the low nanomolar range, sorafenib, by inhibiting the mitogen-activated protein kinase pathway, may prove to be a novel therapy for patients with MPNST.",Molecular cancer therapeutics,2008-04,Grazia Ambrosini; Haider S Cheema; Sharon Seelman; Allison Teed; Elliot B Sambol; Samuel Singer; Gary K Schwartz
PUBad462c1c,10.1158/0008-5472.CAN-07-6867 | 10.1016/j.jneuroim.2010.05.002 | 10.1038/ng.2641 | 10.1038/s12276-022-00850-9 | 10.1158/0008-5472.CAN-09-3769,PMID:18451155 | PMID:20554030 | PMID:23685747 | PMID:36241865 | PMID:20551058,Pten haploinsufficiency accelerates formation of high-grade astrocytomas. | CXCL12 alone is insufficient for gliomagenesis in Nf1 mutant mice. | Forward genetic screen for malignant peripheral nerve sheath tumor formation identifies new genes and pathways driving tumorigenesis. | Transplanting neurofibromatosis-1 gene knockout neural stem cells improve functional recovery in rats with spinal cord injury by enhancing the mTORC2 pathway. | Cyclic AMP suppression is sufficient to induce gliomagenesis in a mouse model of neurofibromatosis-1.,,,,
PUBbcb30524,10.1158/0008-5472.CAN-07-6867 | 10.1038/s12276-022-00850-9,PMID:18451155 | PMID:36241865,Pten haploinsufficiency accelerates formation of high-grade astrocytomas. | Transplanting neurofibromatosis-1 gene knockout neural stem cells improve functional recovery in rats with spinal cord injury by enhancing the mTORC2 pathway.,,,,
